"Symbol","Description","Morningstar Rating","Morningstar Stewardship","Morningstar Economic Moat","Universe","Sector","Industry","Sub-Industry"
"ATO","Atmos Energy Corp","4 stars","Exemplary","Narrow","Domestic","Utilities","Gas Utilities","Gas Utilities"
"BDX","Becton Dickinson and Co","4 stars","Exemplary","Narrow","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"CFR","Cullen/Frost Bankers Inc","4 stars","Exemplary","Narrow","Domestic","Financials","Banks","Regional Banks"
"CVX","Chevron Corp","4 stars","Exemplary","Narrow","Domestic","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas"
"DFS","Discover Financial Services","4 stars","Exemplary","Narrow","Domestic","Financials","Consumer Finance","Consumer Finance"
"EPD","Enterprise Products Partners LP","5 stars","Exemplary","Wide","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"FANG","Diamondback Energy Inc","5 stars","Exemplary","Narrow","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"HAL","Halliburton Co","5 stars","Exemplary","Narrow","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services"
"HFC","HollyFrontier Corp","5 stars","Exemplary","Narrow","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing"
"JLL","Jones Lang LaSalle Inc","4 stars","Exemplary","Narrow","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"JW/A","John Wiley & Sons Inc","4 stars","Exemplary","Wide","Domestic","Communication Services","Media","Publishing"
"KO","Coca-Cola Co","4 stars","Exemplary","Wide","Domestic","Consumer Staples","Beverages","Soft Drinks"
"MMP","Magellan Midstream Partners LP","5 stars","Exemplary","Wide","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"MTB","M&T Bank Corp","4 stars","Exemplary","Narrow","Domestic","Financials","Banks","Regional Banks"
"PM","Philip Morris International Inc","5 stars","Exemplary","Wide","Domestic","Consumer Staples","Tobacco","Tobacco"
"PXD","Pioneer Natural Resources Co","5 stars","Exemplary","Narrow","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"SCHW","Charles Schwab Corp","4 stars","Exemplary","Wide","Domestic","Financials","Capital Markets","Investment Banking & Brokerage"
"SLB","Schlumberger NV","5 stars","Exemplary","Narrow","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services"
"TWNK","Hostess Brands Inc","4 stars","Exemplary","Narrow","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats"
"USB","U.S. Bancorp","4 stars","Exemplary","Wide","Domestic","Financials","Banks","Diversified Banks"
"VNOM","Viper Energy Partners LP","5 stars","Exemplary","Narrow","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"XOM","Exxon Mobil Corp","5 stars","Exemplary","Narrow","Domestic","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas"
